"Word1","kishisda"
"的",28
"ため",23
"国民",20
"経済",20
"私",19
"こと",17
"コロナ",17
"化",17
"実現",17
"社会",17
"成長",15
"主義",13
"新型",13
"保障",12
"分配",12
"強化",12
"我が国",12
"人",11
"支援",11
"方",11
"世界",10
"安全",10
"皆さん",10
"課題",10
"国",9
"対応",9
"対策",9
"政策",9
"日",9
"時代",9
"よう",8
"デジタル",8
"一",8
"戦略",8
"技術",8
"整備",8
"方々",8
"柱",8
"活用",8
"者",8
"資本",8
"3",7
"の",7
"信頼",7
"力",7
"危機",7
"1",6
"これ",6
"世代",6
"企業",6
"全て",6
"地域",6
"地方",6
"日本",6
"確保",6
"重要",6
"ワクチン",5
"上",5
"中",5
"今",5
"全力",5
"外交",5
"大切",5
"推進",5
"新た",5
"未来",5
"環境",5
"科学",5
"自由",5
"覚悟",5
"財政",5
"関係",5
"2",4
"これら",4
"さ",4
"丁寧",4
"不安",4
"事態",4
"事業",4
"先",4
"協力",4
"同盟",4
"国際",4
"大胆",4
"子育て",4
"対話",4
"平和",4
"年",4
"心",4
"投資",4
"拡大",4
"接種",4
"改正",4
"核兵器",4
"機能",4
"次",4
"歩",4
"積極",4
"策定",4
"米",4
"絆",4
"規模",4
"防衛",4
"100",3
"かたち",3
"たち",3
"みんな",3
"インド",3
"インフラ",3
"ミサイル",3
"万全",3
"下",3
"中間",3
"人工",3
"介護",3
"会",3
"価値",3
"保育",3
"健全",3
"公的",3
"分断",3
"医療",3
"問題",3
"回",3
"国家",3
"地",3
"声",3
"大学",3
"安定",3
"安心",3
"家族",3
"層",3
"影響",3
"徹底的",3
"恩恵",3
"想定",3
"感染",3
"憲法",3
"我々",3
"抜本",3
"拉致",3
"指示",3
"朝",3
"核",3
"格差",3
"構築",3
"法",3
"深刻",3
"産業",3
"目",3
"知能",3
"税制",3
"立国",3
"観光",3
"解決",3
"説明",3
"議論",3
"農業",3
"連携",3
"金",3
"開発",3
"閣僚",3
"闘い",3
"首相",3
"高齢",3
"4",2
"それ",2
"づくり",2
"とき",2
"はじめ",2
"もの",2
"グリーン",2
"デジタル技術",2
"データ",2
"ニーズ",2
"バイオ",2
"ビジョン",2
"中国",2
"主張",2
"享受",2
"人材",2
"人権",2
"人生",2
"仲間",2
"会議",2
"何",2
"価格",2
"促進",2
"全体",2
"全員",2
"全面",2
"共感",2
"内閣",2
"再生",2
"切実",2
"収入",2
"取り組み",2
"取引",2
"在り方",2
"地球",2
"変動",2
"変革",2
"多様",2
"大震災",2
"太平洋",2
"子供",2
"宇宙",2
"実行",2
"宣言",2
"底力",2
"弊害",2
"強靱",2
"後",2
"復興",2
"循環",2
"徹底",2
"必要",2
"性",2
"感",2
"手",2
"抑制",2
"拡充",2
"指摘",2
"挑戦",2
"政府",2
"文化",2
"普遍",2
"更",2
"最悪",2
"条約",2
"東日本",2
"果実",2
"検討",2
"業",2
"様々",2
"民主",2
"気候",2
"治療",2
"活性",2
"現場",2
"生きがい",2
"発揮",2
"直面",2
"研究",2
"管理",2
"経営",2
"給付",2
"維持",2
"締結",2
"能力",2
"脱却",2
"自動",2
"薬",2
"行政",2
"被爆",2
"要諦",2
"計画",2
"設置",2
"誰",2
"費",2
"起動",2
"速やか",2
"都市",2
"量子",2
"開示",2
"韓国",2
"領土",2
"10",1
"2025",1
"205",1
"2050",1
"5",1
"ASEAN",1
"DFFT",1
"G",1
"IoT",1
"いのち",1
"お客",1
"お悔やみ",1
"お願い",1
"きょうじん",1
"ことわざ",1
"こども",1
"たいまつ",1
"たび",1
"ちゅうちょ",1
"つながり",1
"なりわい",1
"ぬくもり",1
"はるか",1
"アップ",1
"イノベーション",1
"ウイルス",1
"エネルギー",1
"オーストラリア",1
"カーボンニュートラル",1
"キム",1
"クリーニング",1
"クリーン",1
"コンセプト",1
"サプライ",1
"サービス",1
"ジョン",1
"スタート",1
"センター",1
"セーフティー",1
"チェーン",1
"チャンス",1
"チーム",1
"テレワーク",1
"テーマ",1
"デザイン",1
"デフレ",1
"ネット",1
"ノート",1
"ビジネス",1
"ピンチ",1
"ファンド",1
"フリーランス",1
"ボトルネック",1
"マクロ",1
"メリット",1
"リモート",1
"リーダー",1
"ルール",1
"ロシア",1
"ワン",1
"一人暮らし",1
"一貫",1
"万博",1
"三方",1
"下落",1
"下請け",1
"不幸",1
"不毛",1
"不要",1
"与野党",1
"世帯",1
"両国",1
"両輪",1
"中小",1
"中期",1
"中核",1
"中立",1
"主導",1
"予感",1
"予約",1
"交通",1
"人類",1
"今後",1
"仕方",1
"仕組み",1
"他国",1
"付加",1
"代",1
"代々",1
"住居",1
"体制",1
"使命",1
"供給",1
"保",1
"保健",1
"保安",1
"保護",1
"保険",1
"修士",1
"偉大",1
"側",1
"像",1
"優先",1
"充実",1
"兆",1
"先人",1
"先祖",1
"先端",1
"先頭",1
"全身全霊",1
"共存",1
"共有",1
"共栄",1
"共生",1
"共通",1
"具体",1
"兼業",1
"円",1
"再建",1
"再編",1
"出世",1
"出産",1
"出身",1
"分析",1
"分野",1
"利用",1
"制度",1
"前",1
"前提",1
"前進",1
"副業",1
"創出",1
"創設",1
"努力",1
"労働",1
"効果",1
"動き",1
"勤労",1
"包括",1
"北朝鮮",1
"十分",1
"半導体",1
"卒業",1
"博士",1
"印",1
"原点",1
"受け皿",1
"号令",1
"司令塔",1
"各位",1
"同僚",1
"同志",1
"名",1
"向上",1
"員",1
"唯一",1
"喫緊",1
"四半期",1
"団結",1
"国々",1
"国交",1
"国会",1
"国土",1
"国産",1
"国難",1
"在宅",1
"地元",1
"型",1
"基地",1
"基本",1
"基盤",1
"基礎",1
"基軸",1
"多く",1
"多面",1
"夜",1
"大幅",1
"大綱",1
"大臣",1
"大阪",1
"女性",1
"委員",1
"姿",1
"存在",1
"孤独",1
"学童",1
"学部",1
"実用",1
"実装",1
"容認",1
"審査",1
"将来",1
"尊重",1
"少子",1
"少子化",1
"尽力",1
"屋",1
"山間",1
"工事",1
"差",1
"希望",1
"帰国",1
"平壌",1
"年内",1
"年寄り",1
"年度",1
"年度内",1
"幼",1
"幾度",1
"広島",1
"廃絶",1
"建設",1
"強力",1
"当面",1
"形",1
"形成",1
"役割",1
"従業",1
"復活",1
"応援",1
"思い",1
"急速",1
"恩",1
"情報",1
"感謝",1
"懸案",1
"戦争",1
"所信",1
"所得",1
"手続き",1
"払い",1
"抑止",1
"投票",1
"担い手",1
"担当",1
"拝命",1
"拡散",1
"振興",1
"措置",1
"支出",1
"支給",1
"支配",1
"改定",1
"政党",1
"政治",1
"教育",1
"敬意",1
"数",1
"敵",1
"断固",1
"断行",1
"新幹線",1
"旗手",1
"日本人",1
"早急",1
"明日",1
"是正",1
"時",1
"普天間",1
"書記",1
"最前線",1
"最大",1
"最大限",1
"最後",1
"最高",1
"期待",1
"木",1
"本日",1
"条件",1
"来社",1
"東南アジア",1
"果敢",1
"枠",1
"柔軟",1
"株主",1
"核軍縮",1
"検査",1
"検証",1
"業種",1
"楽観",1
"構想",1
"構造",1
"模索",1
"権限",1
"横断",1
"橋渡し",1
"機動",1
"欧州",1
"正",1
"正常",1
"正規",1
"毅然",1
"民間",1
"水準",1
"水産",1
"決意",1
"沖",1
"沖縄",1
"法案",1
"波",1
"流",1
"流出",1
"流通",1
"海上",1
"消費",1
"清算",1
"清聴",1
"減",1
"温暖",1
"準備",1
"激減",1
"災",1
"点検",1
"無料",1
"物流",1
"物資",1
"率",1
"生命",1
"生活",1
"田園",1
"男性",1
"病床",1
"療養",1
"発展",1
"皆",1
"皆様",1
"監督",1
"目標",1
"目的",1
"目線",1
"直接",1
"省庁",1
"看護",1
"真摯",1
"着実",1
"確か",1
"確信",1
"礎",1
"示し",1
"福島",1
"称賛",1
"移設",1
"種",1
"立場",1
"米価",1
"米国",1
"納得",1
"経口",1
"継続",1
"網",1
"緊急",1
"総動員",1
"総合",1
"総理",1
"繁栄",1
"老朽",1
"考え方",1
"育成",1
"自律",1
"自身",1
"芸術",1
"若者",1
"菅",1
"萌芽",1
"落ち着き",1
"行い",1
"行動",1
"表明",1
"被害",1
"被災",1
"要因",1
"見直し",1
"見舞い",1
"視",1
"視点",1
"解消",1
"解除",1
"証明",1
"評価",1
"課程",1
"諸国",1
"議員",1
"豊か",1
"豪",1
"負担",1
"財務",1
"財産",1
"貢献",1
"責任",1
"責務",1
"貿易",1
"賃上げ",1
"資源",1
"賢人",1
"走行",1
"足元",1
"車",1
"車座",1
"軽減",1
"輸出",1
"農林",1
"辺野古",1
"返還",1
"送迎",1
"速度",1
"連合",1
"運営",1
"過去",1
"過疎",1
"道路",1
"適切",1
"配達",1
"里帰り",1
"重点",1
"金融",1
"長期",1
"開会",1
"開拓",1
"間",1
"関西",1
"閣議",1
"闘病",1
"防止",1
"防災",1
"阻害",1
"限定",1
"障害",1
"隣国",1
"電子",1
"需給",1
"露",1
"頃",1
"順番",1
"領海",1
"領空",1
"類",1
"飛行場",1
"首脳",1
"高み",1
"高速",1
