"Word1","anitachi2","asa2","asamasiki_mono2","hashire_merosu2","kirigirisu2","ningen_shikkaku2","onnano_ketto2","sekibetsu2","soseiki2","uso2"
"て",197,72,42,236,319,1600,950,2079,204,203
"に",172,68,26,207,287,1689,815,2141,153,164
"は",163,56,44,267,287,1360,765,1992,107,200
"を",138,51,33,220,171,1138,649,1460,74,113
"が",94,31,15,97,162,846,441,1149,40,114
"と",77,27,20,73,124,626,334,926,75,84
"も",52,26,17,74,127,665,255,796,75,91
"で",54,29,10,55,85,445,243,558,30,53
"か",12,11,2,25,30,197,113,377,37,35
"から",28,8,4,28,51,264,108,301,15,32
"という",27,2,1,6,12,172,76,231,7,21
"の",5,4,3,13,25,107,76,95,11,9
"ば",5,0,0,15,11,71,49,130,26,7
"へ",19,3,3,6,29,74,42,56,22,19
"など",7,3,1,2,9,83,17,100,10,8
"ね",4,10,5,1,10,49,34,109,6,3
"だけ",1,1,0,6,12,71,33,76,10,5
"でも",7,0,0,10,15,60,21,71,7,8
"ながら",8,5,3,8,5,67,29,51,6,7
"まで",6,4,0,12,10,54,34,47,5,8
"ので",15,3,0,1,13,57,18,59,3,2
"よ",1,4,2,8,7,62,9,53,5,6
"より",1,3,3,3,3,52,19,51,13,5
"ばかり",6,1,0,5,20,45,17,44,3,4
"さえ",2,0,2,3,7,59,12,43,8,3
"として",2,0,0,5,0,35,25,56,3,4
"ほど",0,0,0,4,11,55,16,34,3,5
"くらい",1,2,0,2,6,44,11,48,5,4
"たり",8,2,1,0,4,41,14,33,2,1
"や",8,3,0,1,3,30,10,41,6,2
"かも",0,0,0,1,2,35,16,44,0,4
"じゃ",3,1,0,0,3,31,6,47,6,2
"し",1,3,1,0,13,30,5,30,2,5
"な",1,0,1,6,2,23,12,27,1,6
"のに",1,1,0,1,9,23,11,23,2,2
"こそ",1,0,1,2,2,24,9,23,8,1
"やら",0,0,0,2,8,16,11,30,0,2
"だって",1,0,0,4,10,12,11,24,0,2
"にとって",1,0,0,0,2,22,7,13,2,0
"けれども",2,2,1,0,1,18,5,15,0,1
"なんか",0,0,1,1,0,12,0,22,0,5
"に対して",0,0,0,1,0,9,11,19,0,1
"とか",0,1,0,0,4,7,4,20,1,2
"って",1,1,0,1,2,14,3,10,0,4
"に対する",0,0,0,0,0,12,7,17,0,0
"なんて",1,1,0,0,7,10,6,10,0,0
"かしら",0,0,0,0,2,11,3,16,0,0
"さ",0,1,1,2,0,10,1,9,3,3
"OTHERS1",24,11,10,27,13,170,76,173,105,21
